"","desc","value"
"1","Root_state","0,1"
"2","mu","2.03594433837531"
"3","gamma_0","0.241574752414124"
"4","loglik.obs","-5.69321187679981"
"5","df","2"
"6","conv","0"
"7","n.obs","2"
"8","mntd.obs","178.921876"
"9","mpd.obs","178.921876"
"10","runs","1000"
"11","mntd.mean.RD","124.217199809"
"12","mntd.sd.RD","54.8554224492304"
"13","mntd.obs.z.RD","-0.997251935150625"
"14","mntd.obs.rank.RD","860"
"15","mntd.obs.q.RD","0.859140859140859"
"16","mpd.mean.RD","124.217199809"
"17","mpd.sd.RD","54.8554224492304"
"18","mpd.obs.z.RD","-0.997251935150625"
"19","mpd.obs.rank.RD","860"
"20","mpd.obs.q.RD","0.859140859140859"
"21","n.mean.DAMOCLES","2.062"
"22","mntd.mean.DAMOCLES",NA
"23","mntd.sd.DAMOCLES",NA
"24","mntd.obs.z.DAMOCLES",NA
"25","mntd.obs.rank.DAMOCLES","592.5"
"26","mntd.obs.q.DAMOCLES","0.591908091908092"
"27","mpd.mean.DAMOCLES",NA
"28","mpd.sd.DAMOCLES",NA
"29","mpd.obs.z.DAMOCLES",NA
"30","mpd.obs.rank.DAMOCLES","592.5"
"31","mpd.obs.q.DAMOCLES","0.591908091908092"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
